id, name, stage, date, place, distance, url
1,XIII Corrida Centro Histórico Corpore BM&F/Bovespa,,10/08/08,Centro de São Paulo,9Km," "
2,Corrida Caixa pela Paz - Corpore & WTC,,07/09/08,Marginal Pinheiros,8Km," "
3,NikePlus - The Human Race,São Paulo,31/08/08,USP,10Km,http://www.nikerun.com.br
4,13ª Corrida Corpore Bombeiros,,29/06/08,Museu do Ipiranga,10Km," "
5,5ª Maratona de Revezamento - Ayrton Senna Racing Day,São Paulo,16/11/08,Autôdromo de Interlagos,42.2Km,http://www.ayrtonsennaracingday.com.br
6,14ª Samsung 10K Corpore São Paulo Classic,São Paulo,23/11/08,Assembléia Legislativa,10Km,http://www.corpore.org.br
7,Circuito das estações Adidas,São Paulo - Verão,21/12/08,Pacaembu,10Km,http://www.circuitodasestacoes.com.br/
8,Corrida de São Silvestre,São Paulo,31/12/08,Centro,15Km,http://www.saosilvestre.com.br
9,4ª Corrida Oral-B,São Paulo,18/01/09,Campo de Marte,7Km,http://www.corpore.org.br/
10,XII Troféu Cidade de São Paulo ,São Paulo,25/01/09,Ibirapuera,10Km/6Km,http://jjseventos.com.br/corridas/trofeusp/histrofeusp.html
11,Circuito das estações Adidas,São Paulo - Primavera,10/05/08,Pacaembu," "," "
12,Corrida Batavo Pense Light - 5km,São Paulo,01/03/09,USP,5Km,http://www.corpore.org.br/cws_exibeconteudogeral_2478.asp
13,Corrida Batavo Pense Light - 12km,São Paulo,01/03/09,USP,12Km,http://www.corpore.org.br/cws_exibeconteudogeral_2478.asp
14,Circuito Vênus 2009,1ª Etapa,08/03/09,Jockey Club,5Km,http://o2porminuto.uol.com.br/circuitovenus/sp/resultados.html
15, X Meia Maratona Internacional Corpore Açúcar União,São Paulo,05/04/09,USP,5.5Km,http://www.corpore.org.br/cws_exibeconteudogeral_2469.asp
16,Circuito das estações Adidas,São Paulo - Outono,29/03/09,Pacaembu,10Km,http://www.circuitodasestacoes.com.br/
17,Fila Night Run - 10Km,São Paulo,09/05/09,USP,10Km," "
18,Fila Night Run - 5Km,São Paulo,09/05/09,USP,5Km," "
19,9ª Corrida e Caminhada GRAACC - Corrida,São Paulo,10/05/09,Ibirapuera,10Km,http://www.corpore.org.br/
20,9ª Corrida e Caminhada GRAACC - Caminhada,São Paulo,10/05/09,Ibirapuera,4.3Km,http://www.corpore.org.br/
21,3ª 25 Km Corpore - 12.5km,São Paulo,24/05/09,USP,12.5Km,http://www.corpore.org.br/cws_exibeconteudogeral_2646.asp
22,Circuito Eco Run - 5Km,São Paulo,07/06/09,USP,5Km," "
23,Circuito Eco Run - 10Km,São Paulo,07/06/09,USP,10Km," "
24,3ª Corrida Hebraica Macabi Brasil,São Paulo,21/06/09,USP,6Km," "
25,Circuito das estações Adidas,São Paulo - Inverno,12/07/09,Pacaembu,10Km,http://www.circuitodasestacoes.com.br/
26,Circuito Osasco,Terra,26/07/09,Osasco,8Km,http://www.circuitoosasco.com.br/resultados.cfm
28,10 Milhas Mizuno,São Paulo,02/08/09,USP,16Km,http://www.10milhas.com.br/sp/index.html
29,7ª Corrida Troféu Duque de Caxias,São Paulo,23/08/09,Ibirapuera,10Km," "
30,17° Maratona Pão de Açúcar de Revezamento,São Paulo,20/09/09,Ibirapuera,42Km,http://www.maratonaderevezamento.com.br/saopaulo/
31,Circuito das estações Adidas,São Paulo - Primavera,27/09/09,Pacaembu,10Km,http://www.circuitodasestacoes.com.br/
32,Corrida Corpore WTC pela Paz - 8km,São Paulo,11/10/09,Marginal Pinheiros,8Km,http://www.corpore.org.br/cws_exibeconteudogeral_2810.asp
